id,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz
43,Design 43,2.0,3.4947173166063488,12,1,0.32224343762620505,0.415321633868393,0.538816734003357,-0.38616204261779785,-0.4757418632507324,0.7587853074073792,0.22089236974716187
44,Design 44,2.0,3.495498962137493,12,1,0.33760778548290954,0.44425315202939447,0.538816734003357,-0.38616204261779785,-0.4757418632507324,0.7587853074073792,0.22089236974716187
45,Design 45,2.0,3.5007799971323963,12,1,0.17333540310503331,0.39676747423066994,0.538816734003357,-0.3503791093826294,-0.4315107762813568,0.8065796494483948,0.20115195214748383
46,Design 46,2.0,3.501914510431577,12,1,0.3382615423757251,0.4125573746299758,0.538816734003357,-0.3430998921394348,-0.4195215702056885,0.7915281057357788,0.28243136405944824
47,Design 47,2.0,3.4947173166063488,13,1,0.32224343762620505,0.415321633868393,0.538816734003357,-0.38616204261779785,-0.4757418632507324,0.7587853074073792,0.22089236974716187
48,Design 48,2.0,3.495498962137493,13,1,0.33760778548290954,0.44425315202939447,0.538816734003357,-0.38616204261779785,-0.4757418632507324,0.7587853074073792,0.22089236974716187
49,Design 49,2.0,3.4973828335968005,13,1,0.3382615423757251,0.4125573746299758,0.538816734003357,-0.3494648337364197,-0.4183104634284973,0.7892430424690247,0.2828182578086853
50,Design 50,2.0,3.5007799971323963,13,1,0.17333540310503331,0.39676747423066994,0.538816734003357,-0.3503791093826294,-0.4315107762813568,0.8065796494483948,0.20115195214748383
51,Design 51,2.0,3.4730110749361387,14,1,0.15391096559524897,0.39676747423066994,0.538816734003357,-0.30805084109306335,-0.5652562379837036,0.7000809907913208,0.30899298191070557
52,Design 52,2.0,3.4947173166063488,14,1,0.32224343762620505,0.415321633868393,0.538816734003357,-0.38616204261779785,-0.4757418632507324,0.7587853074073792,0.22089236974716187
53,Design 53,2.0,3.4951279890341334,14,1,0.32443627991218654,0.415321633868393,0.538816734003357,-0.38614997267723083,-0.47572699189186096,0.7587615847587585,0.22102691233158112
54,Design 54,2.0,3.495498962137493,14,1,0.33760778548290954,0.44425315202939447,0.538816734003357,-0.38616204261779785,-0.4757418632507324,0.7587853074073792,0.22089236974716187
55,Design 55,2.0,3.3964719701193733,15,1,0.1641003460381025,0.44425315202939447,0.538816734003357,-0.3937017023563385,-0.4849849343299866,0.7149375081062317,0.314090758562088
56,Design 56,2.0,3.4730110749361387,15,1,0.15391096559524897,0.39676747423066994,0.538816734003357,-0.30805084109306335,-0.5652562379837036,0.7000809907913208,0.30899298191070557
57,Design 57,2.0,3.4947173166063488,15,1,0.32224343762620505,0.415321633868393,0.538816734003357,-0.38616204261779785,-0.4757418632507324,0.7587853074073792,0.22089236974716187
58,Design 58,2.0,3.4951279890341334,15,1,0.32443627991218654,0.415321633868393,0.538816734003357,-0.38614997267723083,-0.47572699189186096,0.7587615847587585,0.22102691233158112
59,Design 59,2.0,3.3964719701193733,16,1,0.1641003460381025,0.44425315202939447,0.538816734003357,-0.3937017023563385,-0.4849849343299866,0.7149375081062317,0.314090758562088
60,Design 60,2.0,3.4730110749361387,16,1,0.15391096559524897,0.39676747423066994,0.538816734003357,-0.30805084109306335,-0.5652562379837036,0.7000809907913208,0.30899298191070557
61,Design 61,2.0,3.492696949960603,16,1,0.3222660568321123,0.4403497384798692,0.538816734003357,-0.38614022731781006,-0.47573012113571167,0.7587661743164062,0.22102132439613342
62,Design 62,2.0,3.4947173166063488,16,1,0.32224343762620505,0.415321633868393,0.538816734003357,-0.38616204261779785,-0.4757418632507324,0.7587853074073792,0.22089236974716187
63,Design 63,2.0,3.3964719701193733,17,1,0.1641003460381025,0.44425315202939447,0.538816734003357,-0.3937017023563385,-0.4849849343299866,0.7149375081062317,0.314090758562088
64,Design 64,2.0,3.4103753740112452,17,1,0.16152276487535944,0.41450986437966314,0.538816734003357,-0.39319106936454773,-0.3761887550354004,0.7725968956947327,0.32707318663597107
65,Design 65,2.0,3.4730110749361387,17,1,0.15391096559524897,0.39676747423066994,0.538816734003357,-0.30805084109306335,-0.5652562379837036,0.7000809907913208,0.30899298191070557
66,Design 66,2.0,3.485990477820456,17,1,0.3248210188822715,0.44425315202939447,0.538816734003357,-0.4029914438724518,-0.5041651725769043,0.7318071126937866,0.21880076825618744
67,Design 67,2.0,3.3867498439695387,18,1,0.16152276487535944,0.41450986437966314,0.538816734003357,-0.40637069940567017,-0.3884870707988739,0.7559952139854431,0.33527886867523193
68,Design 68,2.0,3.3964719701193733,18,1,0.1641003460381025,0.44425315202939447,0.538816734003357,-0.3937017023563385,-0.4849849343299866,0.7149375081062317,0.314090758562088
69,Design 69,2.0,3.4103753740112452,18,1,0.16152276487535944,0.41450986437966314,0.538816734003357,-0.39319106936454773,-0.3761887550354004,0.7725968956947327,0.32707318663597107
70,Design 70,2.0,3.4730110749361387,18,1,0.15391096559524897,0.39676747423066994,0.538816734003357,-0.30805084109306335,-0.5652562379837036,0.7000809907913208,0.30899298191070557
71,Design 71,2.0,3.3867498439695387,19,1,0.16152276487535944,0.41450986437966314,0.538816734003357,-0.40637069940567017,-0.3884870707988739,0.7559952139854431,0.33527886867523193
