id,Name,Generation,Cost,Perception Entropy,Perception Coverage,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz,s3_type,s3_x,s3_y,s3_z,s3_qw,s3_qx,s3_qy,s3_qz,s4_type,s4_x,s4_y,s4_z,s4_qw,s4_qx,s4_qy,s4_qz
6783,Design 6783,97,3000.0,4.554493153450441,0.834055528807575,2,-0.14708452390984406,0.17941586851879396,0.18814894675513372,0.9428187012672424,-0.321227490901947,-0.055595897138118744,0.06938993185758591,2,0.00570371883949198,-0.01184682551409201,0.3763067744093991,-0.00809627864509821,-0.966349720954895,0.25706079602241516,0.0047453357838094234,2,0.2049070422774002,0.17848608197994775,0.19859731263722455,0.02191471867263317,-0.0072730546817183495,0.2915385365486145,-0.9562804102897644,2,0.0,1.3133129757082536e-08,0.18942397587553936,-0.6477582454681396,5.458204554997792e-08,-1.3773374121228699e-06,0.7618459463119507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6784,Design 6784,97,1500.0,6.670860398219073,0.6426469801529985,2,-0.15065505893412176,0.04497431371907619,0.21131876288977644,0.22833332419395447,0.9714788794517517,-0.01831556111574173,0.06129555404186249,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.204530100023322,-6.129569418224365e-05,0.18642104910914611,7.591137318740948e-07,0.0003141927008982748,-0.13403625786304474,-0.9909764528274536,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6785,Design 6785,97,2250.0,5.1182963708851625,0.7813620071684588,2,-0.1470845251417759,0.1794466534986703,0.18812371596683308,0.933469295501709,-0.34602826833724976,-0.054117634892463684,0.07727070897817612,2,0.005956714309396253,0.0019096295586031483,0.3652824414175703,0.0014582764124497771,-0.9522988796234131,0.30515483021736145,0.002293465193361044,2,0.1915747664877027,0.16187244707923934,0.2750070338416957,0.02063864655792713,0.005386116448789835,0.2866763770580292,-0.9577900171279907,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6786,Design 6786,97,7500.0,3.1893390454586203,0.9682768950944204,2,-0.013842749574799766,0.14160727716816618,0.21982166376990028,-0.8144068121910095,-0.5327540636062622,-0.03351503983139992,-0.2275772988796234,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.001929773029558217,-0.0020918237628695115,0.20068323929133658,-0.982721745967865,-0.06070077791810036,0.07111082971096039,0.15973912179470062,2,-0.039776869251694304,-2.1214680616121358e-05,0.18739724807414157,-0.9931334853172302,1.5957508367137052e-05,0.015589016489684582,0.11594326049089432,1,-2.8472280677426594e-05,5.131881671062785e-06,0.19851068186520526,0.06732136011123657,-0.8154507279396057,0.5746605396270752,-0.0165313258767128
6787,Design 6787,97,4500.0,3.977555136505007,0.9002835285935912,2,-0.17853829374844482,0.17826777682195522,0.22101375325313316,0.34405821561813354,0.9360453486442566,0.04061669483780861,0.0615905337035656,2,3.207914465243918e-05,0.015746311900542657,0.20029665151935427,-0.08179027587175369,-0.9625060558319092,0.25863587856292725,-3.7643774248863338e-06,1,0.009371675375713796,0.0010398102013553234,0.38589170644188464,-0.061113279312849045,3.0346784569701413e-06,9.232923184754327e-05,-0.9981308579444885,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6788,Design 6788,97,6000.0,3.3282336363629175,0.9447386722302467,2,-0.1457353614871132,0.17909881657152857,0.18814894675513372,0.945265531539917,-0.31400322914123535,-0.05556441470980644,0.06919301301240921,2,0.005712540194256689,-0.00013597065728643525,0.3763355661480364,5.71471027797088e-05,-0.9423047304153442,0.32606807351112366,-0.07577267289161682,2,0.19976754821732454,0.17504997592143248,0.2689541363113492,0.021951820701360703,-0.007242036052048206,0.29724374413490295,-0.9545217752456665,2,0.0,1.3133129757082536e-08,0.1894732034534365,-0.9998840689659119,0.0,1.3014134214728301e-09,-0.015228519216179848,1,3.164655076947801e-07,0.0,0.18642104910914611,0.9954023361206055,0.0,-0.09578178077936172,0.0
6789,Design 6789,97,10500.0,2.895929986345174,0.9907986946985503,2,-0.013286368334600479,0.14160727716816618,0.21990139294258684,-0.8730773329734802,-0.43975630402565,-0.030002467334270477,-0.20844686031341553,1,-0.004245391838821841,0.007052494053287524,0.188023526592877,-0.02084997110068798,-0.022887811064720154,0.9987807273864746,0.0384516641497612,1,-0.001995637837255629,-0.0020918237628695115,0.20068323929133658,-0.982180118560791,-0.06156528741121292,0.07105828076601028,0.16273465752601624,2,-0.039776869251694304,-2.125080828351213e-05,0.18744469108566794,-0.9932540655136108,8.549802441848442e-05,-0.0003548411186784506,0.1159580796957016,1,-2.8472280677426594e-05,5.131881671062785e-06,0.19851068186520526,0.06732136011123657,-0.8154507279396057,0.5746605396270752,-0.0165313258767128
6790,Design 6790,97,10500.0,2.896100903932017,0.9905312148932756,2,-0.013316621062353966,0.14160727716816618,0.217256006244038,-0.8762302994728088,-0.4330730438232422,-0.03063243068754673,-0.2091168761253357,1,-0.004245391838821841,0.007052494053287524,0.18988312277275907,-0.02085508219897747,0.005894199945032597,0.9989426136016846,0.040546588599681854,1,-0.0019294260829234525,-0.0020918237628695115,0.20068323929133658,-0.9820143580436707,-0.06187022104859352,0.07291389256715775,0.16279858350753784,2,-0.039776869251694304,-0.014785368191305442,0.1873973031578522,-0.9925343990325928,8.012666512513533e-05,0.03806322440505028,0.11587384343147278,1,-2.8472280677426594e-05,5.131881671062785e-06,0.19851068186520526,0.06732136011123657,-0.8154507279396057,0.5746605396270752,-0.0165313258767128
6791,Design 6791,98,3750.0,4.46789257561137,0.8605360295297705,2,-0.14993797784462154,0.05478672053454423,0.21113882576307402,0.21095231175422668,0.9754209518432617,-0.01752375066280365,0.06120484322309494,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6792,Design 6792,98,750.0,8.216394926471782,0.528219119456481,2,-0.18389608967704657,0.04895561817466898,0.21251297043224068,0.22990451753139496,0.9717006087303162,-0.018926987424492836,0.05082932114601135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
