Generation,Cost,Perception Entropy,Coverage,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz
61,1.0,14.806031510785775,0.1387434554973822,1,0,-0.16458912023727756,0.005482879670297161,0.18642104910914611,-0.6673032641410828,-0.252592533826828,-0.6640399098396301,-0.2235046625137329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1.0,14.806063974841877,0.1387434554973822,1,0,-0.16237548351578174,0.005351104801160814,0.2537490849149887,-0.6705793738365173,-0.25383251905441284,-0.6608238816261292,-0.22182001173496246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1.0,14.806031510785775,0.1387434554973822,1,0,-0.16458912023727756,0.005482879670297161,0.18642104910914611,-0.6673032641410828,-0.252592533826828,-0.6640399098396301,-0.2235046625137329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1.0,14.806063974841877,0.1387434554973822,1,0,-0.16237548351578174,0.005351104801160814,0.2537490849149887,-0.6705793738365173,-0.25383251905441284,-0.6608238816261292,-0.22182001173496246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1.0,14.806031510785775,0.1387434554973822,1,0,-0.16458912023727756,0.005482879670297161,0.18642104910914611,-0.6673032641410828,-0.252592533826828,-0.6640399098396301,-0.2235046625137329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1.0,14.806031510785775,0.1387434554973822,1,0,-0.16458912023727756,0.005482879670297161,0.18642104910914611,-0.6673032641410828,-0.252592533826828,-0.6640399098396301,-0.2235046625137329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
